approved,raw_value,normalized_value,canonical_code,canonical_name,parent_code,parent_name,match_action,alias_source,confidence,review_notes
false,LCD Cable,lcd cable,LCD_CABLE,LCD Cable,,,review,inventory.description,30,unmatched candidate; requires review
false,LCD Module B20/B40,lcd module b20/b40,LCD_MODULE_B20/B40,LCD Module B20/B40,,,review,inventory.description,30,unmatched candidate; requires review
false,Latch ABA Rim,latch aba rim,LATCH_ABA_RIM,Latch ABA Rim,,,review,inventory.description,30,unmatched candidate; requires review
false,Light Monitor Power Adapter,light monitor power adapter,MULTIPARAMETER_MONITOR,Multiparameter Monitor,,Patient Monitoring,review,inventory.description,65,taxonomy keyword candidate; requires review
false,Main board dinamap pro 400,main board dinamap pro 400,MAIN_BOARD_DINAMAP_PRO_400,Main board dinamap pro 400,,,review,inventory.description,30,unmatched candidate; requires review
false,Main board fetal monitor,main board fetal monitor,MULTIPARAMETER_MONITOR,Multiparameter Monitor,,Patient Monitoring,review,inventory.description,65,taxonomy keyword candidate; requires review
false,Manifold APL,manifold apl,MANIFOLD_APL,Manifold APL,,,review,inventory.description,30,unmatched candidate; requires review
false,Monitor IC SLE 5000,monitor ic sle 5000,MULTIPARAMETER_MONITOR,Multiparameter Monitor,,Patient Monitoring,review,inventory.description,65,taxonomy keyword candidate; requires review
false,N2O Flow Sensor,n2o flow sensor,N2O_FLOW_SENSOR,N2O Flow Sensor,,,review,inventory.description,30,unmatched candidate; requires review
false,NIBP M-nestpr,nibp m-nestpr,NIBP_M-NESTPR,NIBP M-nestpr,,,review,inventory.description,30,unmatched candidate; requires review
false,NIBP Unit Valve PSMP,nibp unit valve psmp,NIBP_UNIT_VALVE_PSMP,NIBP Unit Valve PSMP,,,review,inventory.description,30,unmatched candidate; requires review
false,NIBP pump,nibp pump,NIBP_PUMP,NIBP pump,,,review,inventory.description,30,unmatched candidate; requires review
false,Nebulizer Cable,nebulizer cable,NEBULIZER_CABLE,Nebulizer Cable,,,review,inventory.description,30,unmatched candidate; requires review
false,Neonatal Flow Sensor Cable,neonatal flow sensor cable,NEONATAL_FLOW_SENSOR_CABLE,Neonatal Flow Sensor Cable,,,review,inventory.description,30,unmatched candidate; requires review
