raw_value,normalized_value,source,count,proposed_canonical_category,proposed_parent_category,confidence,requires_review,notes
SIB SUBASSY ENHANCED 7900 Calibrated,sib subassy enhanced 7900 calibrated,inventory.description,1,SIB SUBASSY ENHANCED 7900 Calibrated,,30,true,unmatched candidate; requires review
SPOT PT LAMP,spot pt lamp,inventory.description,1,SPOT PT LAMP,,30,true,unmatched candidate; requires review
STX5 PVT Pneumatic System,stx5 pvt pneumatic system,inventory.description,1,STX5 PVT Pneumatic System,,30,true,unmatched candidate; requires review
SVC Kit Humidifier Cover,svc kit humidifier cover,inventory.description,1,SVC Kit Humidifier Cover,,30,true,unmatched candidate; requires review
SVC PCA control giraffe Touch Rots,svc pca control giraffe touch rots,inventory.description,1,SVC PCA control giraffe Touch Rots,,30,true,unmatched candidate; requires review
Seal actuator plate,seal actuator plate,inventory.description,1,Seal actuator plate,,30,true,unmatched candidate; requires review
Seal canister BCG,seal canister bcg,inventory.description,1,Seal canister BCG,,30,true,unmatched candidate; requires review
Seal main manifold breathing circuit bag,seal main manifold breathing circuit bag,inventory.description,1,Seal main manifold breathing circuit bag,,30,true,unmatched candidate; requires review
Sensor Loom SLE 5000,sensor loom sle 5000,inventory.description,1,Sensor Loom SLE 5000,,30,true,unmatched candidate; requires review
Sensor O2 / Servo O2,sensor o2 / servo o2,inventory.description,1,Sensor O2 / Servo O2,,30,true,unmatched candidate; requires review
Sensor differential pressure,sensor differential pressure,inventory.description,1,Sensor differential pressure,,30,true,unmatched candidate; requires review
Servo control PCA (Panda Warmer),servo control pca (panda warmer),inventory.description,2,Servo control PCA (Panda Warmer),,30,true,unmatched candidate; requires review
Set bag to vent match BCG,set bag to vent match bcg,inventory.description,1,Set bag to vent match BCG,,30,true,unmatched candidate; requires review
Set unidirectional valve breathing system,set unidirectional valve breathing system,inventory.description,1,Set unidirectional valve breathing system,,30,true,unmatched candidate; requires review
Silencer SLE 2000,silencer sle 2000,inventory.description,1,Silencer SLE 2000,,30,true,unmatched candidate; requires review
Silencer SLE 4000/5000/6000,silencer sle 4000/5000/6000,inventory.description,1,Silencer SLE 4000/5000/6000,,30,true,unmatched candidate; requires review
Silicone Plug bag of 5,silicone plug bag of 5,inventory.description,1,Silicone Plug bag of 5,,30,true,unmatched candidate; requires review
Silicone seal canister,silicone seal canister,inventory.description,1,Silicone seal canister,,30,true,unmatched candidate; requires review
Slide bracket assy,slide bracket assy,inventory.description,1,Slide bracket assy,,30,true,unmatched candidate; requires review
Speaker,speaker,inventory.description,1,Speaker,,30,true,unmatched candidate; requires review
Speaker Dash 2500,speaker dash 2500,inventory.description,1,Speaker Dash 2500,,30,true,unmatched candidate; requires review
Spring Hinge Right Porthole,spring hinge right porthole,inventory.description,1,Spring Hinge Right Porthole,,30,true,unmatched candidate; requires review
Support casting,support casting,inventory.description,1,Support casting,,30,true,unmatched candidate; requires review
Temp Probe Reusable Infant,temp probe reusable infant,inventory.description,1,Temp Probe Reusable Infant,,30,true,unmatched candidate; requires review
Universal AC DC adapter,universal ac dc adapter,inventory.description,1,Universal AC DC adapter,,30,true,unmatched candidate; requires review
Unknown,unknown,inventory.description,9,Unknown,,30,true,unmatched candidate; requires review
V100 Front Board w/o SPO2,v100 front board w/o spo2,inventory.description,1,V100 Front Board w/o SPO2,,30,true,unmatched candidate; requires review
V100 Keypad Kit,v100 keypad kit,inventory.description,1,V100 Keypad Kit,,30,true,unmatched candidate; requires review
V100 NIBP Pump,v100 nibp pump,inventory.description,1,V100 NIBP Pump,,30,true,unmatched candidate; requires review
V100 SPO2 Board,v100 spo2 board,inventory.description,1,V100 SPO2 Board,,30,true,unmatched candidate; requires review
Valve,valve,inventory.description,1,Valve,,30,true,unmatched candidate; requires review
Valve APL assembly,valve apl assembly,inventory.description,1,Valve APL assembly,,30,true,unmatched candidate; requires review
Valve Solenoid,valve solenoid,inventory.description,1,Valve Solenoid,,30,true,unmatched candidate; requires review
VentMon board subassy CAP 7100,ventmon board subassy cap 7100,inventory.description,1,VentMon board subassy CAP 7100,,30,true,unmatched candidate; requires review
Washer Nylon white,washer nylon white,inventory.description,1,Washer Nylon white,,30,true,unmatched candidate; requires review
Washer wave SST,washer wave sst,inventory.description,1,Washer wave SST,,30,true,unmatched candidate; requires review
Water Trap,water trap,inventory.description,1,Water Trap,,30,true,unmatched candidate; requires review
b20/b40 power Supply,b20/b40 power supply,inventory.description,1,b20/b40 power Supply,,30,true,unmatched candidate; requires review
bellows assy aespire,bellows assy aespire,inventory.description,1,bellows assy aespire,,30,true,unmatched candidate; requires review
check google,check google,inventory.description,1,check google,,30,true,unmatched candidate; requires review
disk check,disk check,inventory.description,1,disk check,,30,true,unmatched candidate; requires review
exhaust line,exhaust line,inventory.description,1,exhaust line,,30,true,unmatched candidate; requires review
fan,fan,inventory.description,1,fan,,30,true,unmatched candidate; requires review
filter,filter,inventory.description,2,filter,,30,true,unmatched candidate; requires review
filters,filters,inventory.description,1,filters,,30,true,unmatched candidate; requires review
flow sensor block,flow sensor block,inventory.description,1,flow sensor block,,30,true,unmatched candidate; requires review
flow sensor plastic mri compatable,flow sensor plastic mri compatable,inventory.description,1,flow sensor plastic mri compatable,,30,true,unmatched candidate; requires review
google,google,inventory.description,1,google,,30,true,unmatched candidate; requires review
kit O2 cell incld adapter,kit o2 cell incld adapter,inventory.description,1,kit O2 cell incld adapter,,30,true,unmatched candidate; requires review
main Manifold seal - BCG,main manifold seal - bcg,inventory.description,1,main Manifold seal - BCG,,30,true,unmatched candidate; requires review
o ring,o ring,inventory.description,4,o ring,,30,true,unmatched candidate; requires review
o ring seals on vaporizer,o ring seals on vaporizer,inventory.description,1,o ring seals on vaporizer,,30,true,unmatched candidate; requires review
poly bag,poly bag,inventory.description,1,poly bag,,30,true,unmatched candidate; requires review
sensor differential pressure,sensor differential pressure,inventory.description,1,sensor differential pressure,,30,true,unmatched candidate; requires review
solinoid valve,solinoid valve,inventory.description,1,solinoid valve,,30,true,unmatched candidate; requires review
tec-7 G-Flinge seal replacement kit,tec-7 g-flinge seal replacement kit,inventory.description,1,tec-7 G-Flinge seal replacement kit,,30,true,unmatched candidate; requires review
transducer O2 concentration,transducer o2 concentration,inventory.description,1,transducer O2 concentration,,30,true,unmatched candidate; requires review
valve proportional,valve proportional,inventory.description,1,valve proportional,,30,true,unmatched candidate; requires review
